League #,Winner draft pick #,# Teams in league
87748,6,10
87749,1,
87751,1,8
87761,5,12
87765,2,8
87766,6,
87769,10,
87771,8,12
87772,7,10
87773,10,
87775,4,10
87776,3,14
87779,5,10
87786,2,
87790,7,
87791,6,
87792,7,10
87794,4,
87797,3,8
87802,1,
87803,10,12
87806,11,16
87808,9,
87809,7,12
87812,3,4
87817,3,8
87820,5,14
87823,6,
87830,7,
87834,1,
87838,1,
87839,10,
87842,6,
87847,9,10
87848,7,14
87849,12,14
87852,6,
87853,11,14
87857,2,
87860,1,
87861,8,10
87863,8,12
87868,8,
87869,2,
87872,9,
87876,7,8
87881,7,12
87882,9,10
87885,3,
87889,7,10
87891,5,
87892,8,
87893,1,
87901,1,
87907,9,
87912,8,12
87915,3,
87925,9,
87926,10,12
87927,7,10
87930,12,13
87931,2,10
87934,4,
87936,7,12
87938,10,14
87939,1,
87943,2,
87944,3,
87947,3,
87949,4,
87950,4,10
87952,8,10
87959,8,14
87972,9,
87973,1,9
87977,4,12
87982,6,
87985,4,8
87987,5,6
87989,2,
87991,12,
87995,5,
87997,2,6
88000,5,12
88006,9,10
88007,1,
88008,8,12
88009,4,10
88011,7,
88014,3,
88015,1,
88017,2,10
88025,5,
88034,2,12
88035,8,
88037,4,8
88041,12,12
88042,6,10
88051,2,12
88055,8,
88059,3,12
88060,8,12
88061,5,
88062,2,12
88063,6,
88067,3,14
88068,6,
88070,2,12
88072,1,6
88087,1,
88091,6,12
88095,8,10
88098,2,
88099,1,
88101,2,
88103,5,
88106,10,10
88107,1,
88108,3,
88110,7,
88112,6,12
88114,9,
88127,2,
88129,1,10
88131,6,12
88132,2,4
88133,6,10
88135,4,12
88139,3,10
88143,10,
88149,14,14
88153,6,
88157,4,8
88159,8,
88165,3,
88166,3,
88168,7,10
88171,10,
88174,8,12
88176,4,12
88178,8,12
88180,3,12
88186,3,10
88187,3,
88193,10,
88194,4,
88198,1,12
88201,4,
88203,2,
88206,5,10
88209,5,10
88212,8,10
88214,8,12
88215,5,
88217,1,8
88220,6,10
88224,2,
88229,4,12
88230,3,
88235,7,10
88238,5,
88239,2,
88241,3,
88251,1,10
88254,4,
88256,2,10
88257,5,9
88265,1,
88270,6,10
88273,6,
88277,4,8
88278,1,12
88279,5,
88280,4,
88282,2,12
88283,6,
88287,9,
88291,2,
88293,10,10
88295,1,
88296,8,
88298,7,
88299,2,
88302,1,
88304,2,12
88305,4,10
88306,11,12
88307,5,
88308,1,12
88315,7,
88318,6,
88319,3,
88325,6,
88328,4,12
88330,5,
88333,1,12
88337,2,
88338,10,
88339,2,12
88350,5,6
88355,4,
88356,7,
88358,8,10
88359,7,8
88360,11,12
88362,4,
88363,9,12
88365,5,
88367,3,
88368,4,
88370,8,10
88372,8,
88375,8,
88387,8,12
88393,6,10
88404,7,
88405,2,8
88406,1,
88410,7,
88411,3,
88413,6,8
88414,8,18
88415,7,
88418,1,
88420,9,10
88423,8,
88426,3,
88431,3,
88437,5,12
88438,7,
88439,7,
88444,3,10
88445,3,
88452,8,
88453,7,
88455,1,6
88459,11,12
88461,2,
88466,1,
88467,9,10
88469,5,15
88473,10,
88474,12,12
88477,1,12
88478,1,
88480,1,12
88487,8,12
88489,6,
88491,9,
88493,1,10
88494,1,12
88495,2,12
88496,5,8
88499,7,
88500,3,12
88501,2,
88502,1,
88505,9,9
88509,7,8
88510,4,12
88512,2,12
88515,6,
88518,7,8
88523,2,
88525,9,10
88531,1,
88537,6,
88544,8,10
88545,5,
88546,1,
88547,4,
88548,6,12
88549,6,10
88551,8,
88552,10,10
88553,7,10
88554,8,12
88555,8,
88559,9,9
88562,8,10
88566,7,10
88568,1,10
88578,2,
88579,2,
88582,5,
88584,7,
88587,10,12
88590,6,
88591,8,
88592,14,16
88593,4,12
88594,9,12
88597,5,
88600,2,10
88602,7,
88605,9,12
88610,8,
88613,5,
88618,4,12
88622,7,
88625,5,
88628,3,11
88631,6,
88635,11,12
88636,9,
88637,12,12
88643,4,
88646,7,
88648,7,10
88649,10,
88659,10,
88661,7,10
88669,7,
88673,6,12
88674,5,10
88675,10,
88679,8,
88680,5,8
88683,2,12
88684,6,
88685,8,
88687,9,10
88689,5,10
88694,7,
88697,4,
88700,10,12
88703,7,
88706,7,
88710,2,
88717,7,
88727,8,10
88728,10,
88729,8,
88735,6,
88745,3,8
88750,10,
88755,2,10
88757,3,
88759,9,12
88761,7,
88768,3,
88770,9,
88771,8,10
88775,4,
88776,3,7
88777,4,
88782,5,
88785,5,
88787,6,
88790,8,
88791,11,
88792,1,
88793,8,12
88795,6,
88797,4,10
88799,10,
88801,3,
88803,7,
88809,2,
88812,7,
88814,7,
88815,7,
88817,3,10
88819,9,
88821,10,10
88822,4,10
88827,5,10
88828,3,10
88829,5,
88831,9,10
88832,1,
88833,2,
88835,6,10
88836,7,
88839,8,8
88840,8,12
88841,6,10
88842,6,
88843,6,8
88844,2,
88853,6,
88856,1,12
88859,4,
88861,4,10
88862,7,
88871,10,
88873,3,
88874,5,14
88876,1,12
88878,3,10
88879,5,10
88881,2,10
88883,6,
88891,3,
88893,10,12
88894,10,10
88895,1,10
88901,5,12
88903,2,
88905,7,12
88906,5,
88907,5,10
88912,4,12
88915,2,10
88917,1,12
88918,8,9
88920,11,12
88921,8,12
88924,8,
88928,7,10
88929,6,12
88932,3,12
88933,12,12
88934,8,
88935,2,
88936,5,12
88940,10,10
88942,5,12
88945,7,
88952,4,
88953,10,10
88954,2,12
88955,10,10
88956,8,
88958,1,
88959,10,10
88961,1,
88962,11,12
88963,4,
88967,1,12
88970,6,10
88972,11,12
88976,8,
88977,5,10
88978,4,8
88981,3,
88983,9,
88989,6,
88991,6,
88994,7,10
88995,10,
88997,11,12
88999,2,12
89000,3,10
89005,4,
89008,4,10
89012,1,
89013,6,20
89014,6,10
89015,12,14
89016,4,10
89019,8,8
89021,7,
89028,8,8
89039,10,
89041,9,16
89045,1,
89049,7,8
89051,2,10
89052,9,
89057,5,10
89059,7,
89060,10,
89061,2,12
89063,2,10
89066,1,12
89070,10,14
89073,3,
89076,11,12
89078,10,10
89079,10,10
89080,9,
89082,6,8
89086,7,12
89088,8,10
89091,3,8
89099,10,10
89100,10,
89102,8,8
89103,13,16
89111,1,
89115,1,
89119,8,
89122,4,6
89125,6,10
89126,8,8
89127,1,
89132,4,14
89133,6,12
89140,4,12
89143,7,
89145,4,
89148,1,12
89153,5,
89154,5,10
89158,11,12
89164,7,8
89168,5,
89169,9,
89179,4,
89181,7,10
89186,3,
89188,7,12
89189,12,12
89192,4,10
89195,6,14
89199,3,
89201,2,
89205,7,
89209,4,10
89212,7,
89215,8,12
89216,3,
89217,1,12
89225,8,
89229,5,
89230,3,
89235,2,12
89236,5,
89237,3,10
89238,4,10
89241,5,
89242,4,
89245,7,10
89246,5,8
89261,9,
89266,2,10
89267,4,12
89274,6,
89277,9,12
89281,6,
89283,2,
89284,2,
89286,8,
89289,6,10
89291,6,
89292,10,12
89293,10,
89297,10,16
89301,1,9
89304,6,12
89309,4,6
89310,12,
89312,4,12
89314,8,8
89315,4,
89317,8,
89318,9,
89322,1,10
89324,6,10
89325,4,
89329,3,4
89332,2,
89337,1,10
89339,1,12
89341,4,8
89347,5,10
89352,3,
89354,5,14
89357,2,
89368,8,12
89373,5,
89374,8,
89376,9,12
89381,10,
89382,8,
89383,6,12
89385,9,
89387,10,12
89390,3,
89394,10,12
89397,5,
89401,7,12
89403,6,10
89407,1,
89418,3,12
89425,6,
89428,7,14
89429,5,
89433,11,
89435,6,
89437,7,
89439,9,
89451,2,
89454,10,10
89455,7,
89458,6,
89459,6,8
89465,9,12
89470,5,
89473,2,12
89477,6,
89480,7,8
89481,5,10
89482,5,10
89483,4,
89486,4,12
89488,5,
89489,10,
89495,8,10
89499,12,12
89502,3,4
89503,8,
89506,2,14
89529,8,10
89530,4,
89535,2,
89539,6,
89540,10,10
89541,5,14
89544,9,
89548,12,
89550,8,
89553,10,12
89556,9,
89558,1,
89565,7,
89567,8,12
89568,1,8
89569,7,10
89573,1,
89583,8,8
89584,1,
89585,9,10
89589,4,
89590,8,10
89594,10,10
89597,3,10
89598,10,12
89601,7,10
89602,8,
89603,8,
89607,11,12
89609,3,
89611,9,
89613,7,
89614,8,10
89620,5,6
89621,8,
89624,2,
89627,5,12
89629,3,10
89633,8,8
89636,3,10
89639,8,
89642,5,
89643,9,
89647,2,12
89654,2,
89655,8,10
89658,6,
89666,1,10
89676,3,10
89678,9,
89686,9,10
89687,8,
89688,7,8
89693,1,
89697,1,
89698,3,
89700,4,10
89706,8,12
89709,1,
89717,7,12
89719,1,
89722,8,
89727,1,10
89730,8,
89731,4,
89733,7,
89737,8,12
89738,9,12
89740,1,10
89746,8,8
89749,4,
89752,3,10
89754,8,
89757,7,
89758,11,12
89761,12,12
89765,5,10
89766,1,
89768,7,12
89770,9,
89773,3,
89776,17,18
89782,8,12
89783,2,8
89788,12,
89790,7,
89793,2,
89797,10,10
89803,5,
89805,5,
89808,7,8
89810,4,
89811,10,
89812,2,
89815,16,16
89816,5,12
89817,2,
89818,4,12
89819,6,
89821,4,12
89822,4,
89827,8,12
89828,6,
89836,2,
89837,10,
89838,4,
89841,4,
89844,8,
89851,6,12
89854,14,14
89855,2,
89859,1,
89862,2,
89864,4,
89869,6,12
89870,8,10
89875,5,
89878,5,
89881,4,12
89882,4,12
89883,9,10
89886,10,
89887,7,10
89898,10,12
89902,3,
89903,9,10
89904,2,10
89907,2,
89913,2,10
89922,5,12
89924,4,12
89926,2,10
89927,4,
89930,4,
89931,3,
89932,4,4
89934,6,6
89938,9,12
89939,8,
89941,6,14
89943,1,
89945,1,10
89947,3,
89948,8,10
89950,13,14
89953,5,10
89956,10,10
89961,3,
89962,10,10
89963,5,
89965,4,
89968,10,12
89969,8,10
89971,9,12
89974,6,
89975,1,8
89976,3,10
89982,3,6
89985,7,12
89986,10,12
89989,1,
89990,4,
89991,4,
90003,9,
90005,7,
90008,10,
90009,2,10
90011,9,
90013,11,
90015,8,
90021,10,10
90023,8,
90025,6,
90027,2,
90029,8,12
90033,3,
90034,11,12
90037,2,
90038,12,12
90041,6,
90042,10,12
90043,6,
90045,7,12
90052,1,6
90055,8,8
90056,5,12
90057,2,
90058,6,8
90062,5,8
90063,8,
90067,4,
90068,10,
90069,7,
90071,12,12
90073,8,12
90074,8,10
90078,12,12
90079,9,12
90081,10,10
90083,4,
90092,2,
90097,9,12
90098,7,8
90099,7,
90102,3,
90104,8,8
90111,10,10
90120,3,14
90123,4,12
90124,3,12
90125,3,
90127,8,
90135,1,
90137,9,
90138,10,10
90141,3,
90143,7,10
90144,8,12
90148,10,12
90149,1,
90151,4,
90157,1,13
90164,8,10
90165,6,12
90169,2,
90173,3,10
90175,6,10
90178,9,10
90179,7,13
90185,5,12
90190,1,
90191,7,14
90194,7,12
90196,3,10
90199,2,
90202,1,
90207,3,6
90208,4,
90209,5,10
90211,8,10
90213,3,10
90214,7,
90221,3,12
90223,2,
90224,13,14
90228,9,12
90230,7,
90231,5,10
90233,3,12
90234,1,8
90235,3,10
90237,7,12
90239,12,12
90242,10,12
90247,4,
90248,2,
90253,3,
90256,5,12
90257,7,
90258,1,
90260,6,9
90262,6,10
90264,11,12
90269,2,
90274,3,
90275,11,14
90277,3,
90279,2,10
90282,3,
90283,9,
90286,7,
90289,10,12
90290,11,12
90291,8,12
90293,4,
90294,2,
90295,7,
90296,6,
90302,9,12
90309,9,
90314,4,
90315,2,
90325,6,
90326,4,8
90329,4,12
90331,10,
90335,7,
90337,3,
90339,4,14
90344,7,10
90347,4,8
90349,10,10
90350,2,8
90357,8,10
90358,8,10
90363,8,
90364,5,10
90370,8,12
90377,7,
90381,4,10
90388,5,10
90390,9,10
90392,3,
90393,7,
90402,8,12
90403,12,12
90405,7,12
90407,9,10
90409,2,
90415,6,
90416,5,
90424,1,
90429,1,10
90430,5,
90434,3,
90435,4,
90438,9,10
90441,14,14
90443,11,12
90445,1,10
90447,10,10
90448,8,10
90457,11,12
90461,3,
90464,10,
90465,6,12
90468,5,10
90469,7,
90471,2,12
90477,6,8
90480,2,
90483,8,
90487,9,
90488,6,
90489,3,
90491,4,
90497,8,10
90500,9,
90503,5,
90504,9,
90505,1,10
90508,5,
90509,5,
90511,5,
90518,12,12
90519,7,
90521,2,
90523,3,
90525,9,
90528,2,16
90531,11,12
90533,1,10
90534,3,
90537,1,
90539,3,
90544,8,
90547,7,
90550,4,
90552,4,
90553,6,12
90555,7,
90556,2,
90557,2,
90559,1,4
90561,7,
90564,5,
90567,2,12
90570,8,
90573,4,10
90574,2,
90575,13,14
90578,7,10
90581,1,
90582,8,12
90585,6,12
90586,3,10
90587,7,
90589,2,
90590,6,
90591,7,12
90597,4,12
90600,10,12
90602,6,
90603,10,12
90604,1,8
90607,1,10
90609,3,
90611,2,
90620,9,10
90622,4,
90623,7,
90624,2,8
90631,2,10
90632,7,10
90634,4,8
90637,4,
90642,6,
90643,9,10
90644,4,
90647,10,
90651,4,
90656,7,10
90658,6,12
90661,5,12
90662,7,
90663,8,
90665,9,
90666,5,10
90667,2,10
90668,3,
90672,1,10
90674,10,10
90677,9,
90678,10,
90679,3,
90686,6,12
90687,8,10
90688,3,
90689,1,10
90696,7,
90701,3,
90702,8,12
90704,5,
90706,8,
90707,2,
90712,4,4
90714,8,12
90715,5,10
90716,6,10
90717,3,
90723,9,
90725,3,
90726,1,
90731,5,10
90733,6,
90735,11,12
90738,4,10
90740,1,12
90743,8,10
90744,8,10
90746,10,10
90747,4,
90748,4,10
90749,10,10
90751,7,
90753,6,
90758,10,12
90762,1,
90763,1,
90765,8,8
90771,7,
90772,9,12
90775,2,
90787,4,10
90788,10,
90790,8,10
90791,3,10
90793,7,8
90794,1,
90798,8,8
90800,12,12
90802,1,
90803,2,
90804,5,10
90805,6,8
90812,6,
90813,3,
90817,7,
90821,8,
90829,9,12
90832,4,9
90834,7,10
90837,7,
90838,1,
90840,11,12
90844,8,10
90847,2,12
90848,14,14
90851,12,12
90854,7,
90858,1,
90865,6,12
90866,10,10
90875,1,12
90876,14,16
90877,11,12
90878,3,
90879,9,10
90881,11,12
90883,5,10
90887,3,10
90888,1,8
90895,5,
90896,12,12
90901,2,
90902,4,12
90904,6,12
90905,5,
90907,5,10
90908,3,10
90910,6,10
90911,3,8
90914,4,
90916,6,10
90919,5,
90929,10,
90931,5,
90934,8,
90941,1,
90942,7,10
90943,1,
90946,1,
90949,5,
90952,8,
90954,5,8
90960,6,
90970,6,
90972,6,
90976,6,12
90985,10,10
90997,9,10
91002,5,
91008,9,10
91011,10,10
91013,2,12
91014,11,12
91015,7,
91017,3,8
91022,2,12
91027,2,
91028,7,10
91030,7,12
91032,9,10
91035,1,10
91041,4,10
91043,8,
91046,2,8
91048,2,12
91058,5,12
91060,5,12
91061,3,
91064,1,
91066,4,4
91073,3,
91079,5,
91083,13,18
91085,3,8
91087,2,6
91089,9,
91094,1,
91095,7,10
91098,7,
91099,11,12
91102,7,10
91105,9,16
91106,7,
91108,3,10
91111,1,
91114,8,
91124,1,
91126,5,
91127,9,16
91130,5,
91132,8,
91139,1,10
91142,4,
91145,10,12
91148,6,10
91149,6,
91150,1,
91153,5,
91154,5,
91156,10,10
91164,5,8
91166,7,
91168,5,8
91169,8,10
91170,1,10
91173,1,
91174,6,
91176,6,
91178,5,
91187,5,
91188,6,8
91193,3,
91197,5,
91202,10,
91205,1,
91207,2,
91214,1,
91218,5,
91220,2,8
91222,1,
91223,3,
91225,10,
91227,9,10
91228,9,
91231,3,12
91233,3,10
91239,3,10
91245,4,12
91248,9,10
91254,7,
91258,7,10
91262,9,10
91263,11,12
91264,10,12
91265,10,12
91267,4,
91268,8,
91271,7,12
91272,11,12
91277,10,12
91285,5,
91287,8,10
91289,9,12
91290,3,10
91291,7,
91298,7,
91306,9,10
91310,7,12
91313,3,
91318,8,
91319,3,12
91322,9,14
91323,9,10
91329,7,12
91330,11,12
91332,8,
91334,2,10
91338,9,10
91339,1,
91341,5,16
91342,6,
91349,9,
91350,7,
91354,10,
91357,9,12
91358,9,12
91360,7,
91366,3,
91367,3,12
91371,8,12
91372,5,
91373,3,12
91381,4,
91382,11,
91389,11,12
91390,11,20
91402,1,14
91406,11,12
91409,3,12
91411,7,
91415,4,
91422,2,
91423,8,12
91427,10,
91428,6,12
91437,10,10
91441,6,
91445,5,
91447,8,
91449,4,10
91452,5,8
91454,11,12
91457,1,10
91458,9,12
91459,4,
91462,3,12
91464,3,12
91465,5,12
91466,5,
91467,1,
91469,6,
91470,5,
91472,10,10
91473,8,10
91479,6,16
91482,5,
91484,8,12
91491,11,12
91495,4,12
91498,5,14
91501,10,
91502,11,
91506,2,
91507,8,10
91513,8,
91518,7,
91519,1,10
91522,2,
91524,1,10
91532,5,
91534,10,
91535,3,
91541,5,10
91543,3,10
91545,3,
91546,3,
91550,1,10
91554,9,12
91561,7,
91563,6,
91566,12,12
91577,7,10
91584,3,14
91592,10,10
91594,5,
91601,2,
91602,8,
91606,4,12
91607,5,10
91610,1,8
91611,2,
91617,11,12
91619,6,12
91625,12,12
91628,1,12
91631,4,
91632,1,12
91633,10,10
91635,8,10
91636,6,
91637,3,
91640,2,15
91650,3,
91652,6,9
91660,8,
91666,4,
91672,7,12
91674,5,
91676,9,
91677,8,
91678,11,12
91679,3,12
91683,2,
91686,5,
91687,5,10
91695,2,12
91697,8,
91699,12,12
91700,9,10
91701,8,
91703,1,12
91705,7,12
91707,8,
91710,8,
91711,3,
91719,3,
91721,2,
91723,6,12
91727,10,14
91738,10,12
91742,7,
91744,8,
91753,4,
91755,8,12
91758,5,12
91761,4,
91768,9,10
91769,2,
91772,4,4
91774,10,12
91778,3,
91793,9,
91797,1,12
91800,4,
91803,1,8
91804,4,10
91810,1,
91813,6,
91814,5,
91823,8,10
91824,4,10
91825,6,
91829,4,10
91833,5,
91834,2,
91839,4,8
91841,1,10
91842,1,12
91847,5,
91848,5,12
91849,2,
91850,5,10
91855,12,14
91858,3,
91859,6,10
91860,3,10
91861,6,
91863,5,12
91864,7,
91868,8,12
91872,2,8
91873,6,
91877,11,12
91880,5,
91882,7,
91883,1,12
91885,3,
91886,10,12
91887,9,
91888,4,12
91890,12,12
91894,3,10
91897,1,12
91902,1,10
91903,6,12
91904,1,10
91905,9,
91909,6,10
91910,10,
91911,3,10
91912,1,8
91913,4,10
91915,11,12
91916,6,12
91920,3,
91922,7,10
91923,3,10
91927,7,12
91928,1,12
91937,3,
91939,7,
91942,2,
91944,8,
91950,6,8
91952,4,
91954,5,
91956,11,
91957,6,10
91964,10,10
91965,9,
91966,4,10
91971,8,12
91978,5,10
91979,8,10
91987,11,16
91991,12,12
91992,10,10
91993,6,
91994,1,8
91995,10,12
92000,5,12
92001,8,
92004,1,10
92006,3,8
92008,1,10
92009,2,10
92011,3,
92012,5,
92013,5,
92014,8,10
92015,4,
92016,3,10
92019,2,
92021,1,
92023,8,
92024,9,12
92026,2,
92028,9,10
92029,1,8
92034,1,
92043,10,10
92044,9,
92047,11,12
92050,2,4
92062,5,10
92065,6,10
92067,9,12
92068,3,12
92073,4,
92074,2,10
92075,9,
92076,4,10
92077,1,10
92079,6,12
92080,4,
92084,10,12
92085,5,
92087,5,8
92090,2,12
92093,6,10
92095,12,12
92099,9,
92102,7,8
92103,2,
92107,4,
92115,10,10
92125,10,10
92128,8,10
92131,2,
92132,7,12
92133,9,
92134,1,
92135,8,
92136,1,14
92138,9,
92139,3,10
92143,5,10
92145,5,
92148,12,12
92151,1,10
92153,2,4
92156,6,10
92158,10,
92160,5,
92165,8,12
92167,3,10
92168,1,10
92172,10,
92175,1,12
92176,6,
92177,2,
92179,10,14
92180,6,12
92181,7,12
92184,8,
92190,3,10
92191,1,10
92192,7,
92194,4,
92199,7,
92200,5,12
92202,8,12
92205,3,8
92207,1,
92212,9,10
92219,9,
92225,4,10
92227,2,
92229,1,12
92230,4,10
92231,8,
92235,4,
92239,1,
92241,3,
92245,11,12
92248,6,12
92253,3,
92254,10,12
92258,1,10
92261,10,10
92264,4,
92265,4,
92266,5,
92267,2,
92274,9,10
92277,10,12
92280,9,
92281,10,10
92282,1,10
92285,4,
92287,6,12
92288,7,10
92290,12,12
92291,6,
92294,11,12
92303,1,
92306,10,
92308,6,
92311,9,14
92312,1,8
92315,6,
92317,7,12
92321,4,
92326,8,10
92328,4,
92329,8,
92331,6,
92332,3,
92334,5,10
92339,6,10
92340,9,10
92342,9,16
92344,8,10
92349,6,10
92350,7,
92354,11,14
92355,7,10
92364,10,
92365,7,
92366,4,
92367,5,10
92369,2,12
92373,5,10
92375,10,10
92376,6,10
92377,2,
92381,1,
92385,2,7
92388,3,9
92389,6,
92390,2,
92393,3,12
92396,5,
92407,9,
92410,4,
92419,3,
92421,8,10
92422,7,
92424,7,
92427,4,
92430,8,10
92431,5,
92432,10,10
92440,4,10
92441,1,
92444,7,10
92447,4,10
92450,6,10
92456,7,8
92457,5,
92458,6,
92461,8,
92464,5,10
92465,3,10
92470,10,10
92472,7,
92477,14,16
92478,2,5
92479,3,
92481,5,
92484,3,6
92486,9,10
92489,11,12
92492,6,12
92495,5,10
92497,6,
92498,1,10
92500,8,12
92503,10,
92505,10,
92512,11,12
92518,5,10
92519,7,
92520,14,16
92521,3,
92522,12,12
92523,8,10
92525,2,
92526,6,12
92531,1,
92533,8,12
92535,11,12
92537,7,10
92542,1,10
92543,4,12
92554,10,
92559,6,
92560,9,12
92561,6,10
92565,4,
92566,6,
92567,8,
92570,3,10
92572,2,10
92573,6,10
92574,4,8
92575,9,12
92577,5,10
92579,1,
92590,6,10
92591,4,10
92595,7,
92600,3,
92601,4,
92604,4,
92610,3,
92612,8,10
92617,2,
92618,6,8
92623,11,12
92624,9,12
92637,2,10
92639,9,
92645,8,10
92648,9,
92651,5,10
92661,10,12
92662,2,12
92663,7,
92665,5,
92666,5,12
92670,1,10
92675,10,
92677,9,9
92685,3,6
92687,4,10
92689,7,
92690,4,
92691,7,14
92693,1,10
92694,8,8
92700,9,
92701,8,
92706,3,10
92707,4,
92710,6,
92712,9,12
92717,11,12
92723,4,
92725,5,
92726,1,10
92727,8,10
92728,8,8
92733,10,
92734,7,
92735,11,
92740,2,10
92741,1,
92742,4,10
92743,6,
92749,2,12
92754,3,10
92755,9,
92756,7,8
92758,9,
92765,11,12
92766,1,12
92767,8,
92769,5,12
92771,10,
92773,1,12
92775,5,12
92780,8,
92782,8,8
92784,10,12
92788,7,
92797,8,10
92799,3,
92801,6,
92803,8,
92804,7,10
92817,9,10
92823,8,12
92831,5,12
92834,4,
92836,1,
92838,4,
92842,3,14
92849,4,
92850,3,
92852,9,12
92854,3,8
92863,7,
92868,4,
92872,5,10
92877,1,6
92885,10,10
92889,7,10
92893,5,
92898,9,12
92899,4,6
92905,4,10
92906,1,
92909,8,
92910,4,
92912,9,
92913,9,10
92914,3,10
92915,7,
92916,5,10
92918,3,
92925,12,12
92926,6,10
92930,10,12
92931,5,10
92934,3,12
92939,3,
92945,4,8
92946,1,12
92947,1,10
92957,1,
92958,12,16
92959,6,10
92961,9,10
92963,9,12
92966,7,
92967,4,
92970,1,10
92971,6,
92974,7,10
92981,2,12
92982,8,
92983,5,
92985,8,10
92986,9,10
92987,3,
92992,7,12
92993,7,
93009,3,8
93010,6,
93013,8,
93019,8,
93024,2,12
93028,10,
93037,1,
93038,1,12
93040,8,12
93042,4,
93045,2,8
93046,5,10
93050,7,
93054,6,12
93058,7,12
93061,5,12
93062,4,10
93063,4,
93067,5,12
93069,13,10
93076,10,12
93080,4,12
93089,4,10
93090,10,14
93092,4,
93094,9,
93098,7,
93103,10,10
93108,4,12
93110,3,
93111,7,
93113,7,
93115,9,10
93117,1,8
93125,8,
93130,5,10
93132,1,12
93134,9,14
93136,7,12
93141,8,
93143,3,12
93145,3,
93146,4,
93148,7,
93149,8,10
93157,14,16
93161,9,12
93164,3,12
93165,5,18
93167,8,12
93169,10,
93173,6,12
93181,8,
93182,7,12
93184,2,10
93189,6,
93192,2,
93193,9,14
93195,1,
93197,3,
93201,12,12
93205,8,8
93207,5,10
93209,6,
93211,1,10
93214,6,12
93216,10,10
93217,4,
93224,6,10
93232,6,
93233,4,
93235,10,
93242,4,12
93244,11,14
93247,3,10
93250,15,16
93251,5,12
93257,1,
93262,3,
93264,2,12
93267,11,12
93271,5,12
93273,10,12
93275,8,12
93280,2,
93283,9,
93285,1,12
93286,1,10
93289,4,12
93290,1,10
93291,10,10
93299,6,
93306,4,
93310,2,
93313,2,
93314,4,
93316,7,
93322,7,
93323,7,14
93327,8,10
93331,2,12
93334,4,
93336,9,
93337,2,
93341,3,10
93342,4,
93344,8,8
93346,2,8
93349,10,
93356,8,
93366,6,
93369,2,10
93375,6,
93376,1,10
93377,4,8
93378,2,10
93379,7,
93385,11,12
93388,9,10
93389,11,12
93391,8,
93396,9,10
93400,8,12
93402,5,
93403,4,
93405,5,
93407,4,
93408,2,12
93410,6,
93415,5,10
93416,8,10
93419,3,
93427,7,12
93433,9,10
93436,7,
93438,7,
93439,3,
93443,7,12
93446,5,
93451,4,
93454,5,
93458,6,10
93459,2,10
93462,1,10
93464,1,
93466,9,
93470,6,10
93471,3,10
93472,10,
93474,2,
93475,7,10
93476,9,
93484,2,10
93488,3,12
93490,6,10
93492,2,10
93494,8,10
93497,12,
93498,4,6
93502,3,8
93503,1,
93506,3,
93510,8,
93511,6,14
93514,2,12
93519,1,14
93521,1,
93526,9,10
93538,4,12
93539,4,
93541,1,
93543,8,8
93545,1,
93548,8,12
93549,7,
93551,5,10
93552,8,10
93553,8,10
93556,6,12
93563,7,
93566,9,
93572,8,10
93574,1,12
93575,2,12
93585,4,10
93587,2,
93593,10,12
93594,5,8
93597,9,12
93599,10,
93601,3,8
93602,1,8
93612,9,10
93613,8,12
93616,4,
93617,1,12
93618,10,12
93620,2,12
93621,2,12
93622,1,
93625,7,
93627,2,12
93631,8,
93636,10,10
93641,6,10
93642,6,
93643,8,
93647,2,
93651,8,10
93652,1,12
93654,8,8
93659,8,8
93660,3,12
93661,8,
93663,1,
93667,6,
93668,8,16
93669,3,8
93670,3,
93671,7,
93674,3,
93676,9,12
93681,5,10
93682,3,
93685,7,10
93694,5,12
93698,11,12
93699,7,
93700,3,10
93701,11,
93702,2,
93704,8,
93706,4,
93708,3,
93710,5,
93711,3,
93713,7,10
93714,4,
93715,9,
93720,5,
93725,7,10
93726,8,
93729,7,
93736,2,
93740,12,12
93745,11,12
93749,9,
93750,3,12
93753,4,
93758,3,
93760,7,12
93763,10,
93764,10,10
93766,10,10
93774,6,8
93778,5,
93779,3,8
93786,4,10
93787,5,12
93788,4,12
93790,7,10
93793,4,8
93798,1,10
93800,8,
93806,5,
93807,12,12
93812,2,
93813,7,
93815,5,
93819,7,10
93831,9,12
93835,5,
93836,8,8
93839,8,10
93840,7,10
93843,2,10
93846,4,10
93851,9,10
93856,5,14
93857,6,10
93858,8,
93860,8,
93862,4,
93864,5,
93865,8,10
93866,1,
93879,2,12
93884,4,8
93886,6,
93891,7,10
93892,3,12
93895,8,12
93896,7,
93899,10,
93900,3,
93901,1,12
93902,2,10
93907,5,
93908,6,12
93910,2,12
93912,10,14
93913,10,10
93917,3,12
93918,10,12
93919,9,
93922,8,14
93923,10,12
93925,7,
93930,9,
93938,10,12
93940,10,
93942,4,
93943,3,12
93946,10,12
93948,10,14
93949,9,10
93951,8,10
93954,5,12
93956,5,10
93961,7,
93962,9,
93963,7,
93968,3,10
93971,2,10
93974,2,
93975,6,10
93978,3,10
93979,2,12
93986,2,
93989,12,12
93990,7,
93992,10,10
93996,7,
93998,2,10
93999,7,
94001,7,
94003,8,
94005,3,12
94006,9,
94007,9,12
94008,8,10
94013,2,10
